iter	Passed	Remaining
0	18	9405
1	22	5773
2	26	4485
3	29	3657
4	30	3115
5	33	2767
6	35	2510
7	37	2318
8	38	2148
9	41	2071
10	44	2005
11	46	1930
12	48	1840
13	50	1777
14	52	1731
15	54	1671
16	56	1642
17	59	1616
18	60	1569
19	62	1529
20	64	1487
21	65	1448
22	67	1415
23	69	1393
24	72	1395
25	74	1383
26	76	1366
27	78	1351
28	80	1330
29	82	1306
30	84	1292
31	86	1280
32	88	1272
33	91	1277
34	93	1260
35	94	1244
36	96	1229
37	98	1214
38	100	1203
39	102	1202
40	105	1197
41	108	1203
42	110	1190
43	111	1176
44	113	1167
45	115	1158
46	117	1152
47	120	1151
48	123	1155
49	124	1143
50	126	1131
51	127	1120
52	129	1109
53	131	1105
54	133	1099
55	136	1102
56	139	1102
57	140	1093
58	142	1084
59	143	1075
60	146	1070
61	147	1063
62	150	1060
63	152	1059
64	154	1050
65	155	1042
66	157	1034
67	158	1025
68	159	1016
69	161	1010
70	163	1004
71	166	1008
72	168	1004
73	170	997
74	171	990
75	173	984
76	175	980
77	177	979
78	179	976
79	182	976
80	184	972
81	185	965
82	187	959
83	188	953
84	190	948
85	192	946
86	195	945
87	198	949
88	200	943
89	202	938
90	203	933
91	205	928
92	207	927
93	210	925
94	212	924
95	214	921
96	216	918
97	218	913
98	219	908
99	221	905
100	224	904
101	226	900
102	230	906
103	232	903
104	234	899
105	236	897
106	238	895
107	241	893
108	244	893
109	246	891
110	248	887
111	250	884
112	252	881
113	254	880
114	257	879
115	260	881
116	263	881
117	266	879
118	268	877
119	271	876
120	274	879
121	277	876
122	279	873
123	281	870
124	283	867
125	284	863
126	287	861
127	289	860
128	292	858
129	294	855
130	296	853
131	298	849
132	300	846
133	302	844
134	304	842
135	307	841
136	309	838
137	311	835
138	313	833
139	315	829
140	317	826
141	319	824
142	323	826
143	325	823
144	327	819
145	329	816
146	331	813
147	333	810
148	335	807
149	338	807
150	341	807
151	343	804
152	345	802
153	347	799
154	349	796
155	352	795
156	355	794
157	357	790
158	358	787
159	360	784
160	362	781
161	364	778
162	366	776
163	371	778
164	373	775
165	375	772
166	376	769
167	378	766
168	380	764
169	383	762
170	387	763
171	389	761
172	391	759
173	393	756
174	396	754
175	398	752
176	401	751
177	403	748
178	405	745
179	407	742
180	408	738
181	410	735
182	413	733
183	415	732
184	418	731
185	420	728
186	422	725
187	424	722
188	427	720
189	429	718
190	432	718
191	435	716
192	437	714
193	439	710
194	441	708
195	442	705
196	445	702
